165852	16:39:43.124	0.13202851	Gppw.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 141, Data: 02 45 31 31 38 30 30 30 34 30 31 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 32 30 	
165853	16:39:43.254	0.04408940	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 06 	
165854	16:39:43.295	0.00183459	Gppw.exe	IOCTL_SERIAL_CLR_DTR                	COM9	SUCCESS		
165855	16:39:43.295	0.00210530	Gppw.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
165856	16:39:43.305	0.00195304	Gppw.exe	IOCTL_SERIAL_SET_DTR                	COM9	SUCCESS		
165857	16:39:43.305	0.00197679	Gppw.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
165858	16:39:43.305	0.00000363	Gppw.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXCLEAR RXCLEAR	
165859	16:39:43.305	0.04461154	Gppw.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 69, Data: 02 45 31 31 38 30 34 30 31 43 39 30 30 31 46 45 30 33 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 	
165860	16:39:43.345	0.05806017	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 06 	
165861	16:39:43.405	0.00191309	Gppw.exe	IOCTL_SERIAL_CLR_DTR                	COM9	SUCCESS		
165862	16:39:43.405	0.00195472	Gppw.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
165863	16:39:43.415	0.00196338	Gppw.exe	IOCTL_SERIAL_SET_DTR                	COM9	SUCCESS		
165864	16:39:43.415	0.00197735	Gppw.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
165865	16:39:43.415	0.00000335	Gppw.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXCLEAR RXCLEAR	
165866	16:39:43.415	0.00206060	Gppw.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 02 42 03 34 35 	
165867	16:39:43.415	0.02960181	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 06 	
165868	16:39:43.445	0.00784932	Gppw.exe	IOCTL_SERIAL_CLR_DTR                	COM9	SUCCESS		
165869	16:39:43.455	0.00197595	Gppw.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
165870	16:39:43.455	0.00197204	Gppw.exe	IOCTL_SERIAL_SET_DTR                	COM9	SUCCESS		
165871	16:39:43.455	0.00209915	Gppw.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
165872	16:39:43.465	0.00000335	Gppw.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXCLEAR RXCLEAR	
165873	16:39:43.465	0.00204579	Gppw.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 11, Data: 02 30 30 45 30 32 30 32 03 36 43 	
165874	16:39:43.465	0.04403129	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 02 	
165875	16:39:43.505	0.00000419	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 46 	
165876	16:39:43.505	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 36 	
165877	16:39:43.505	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 35 	
